Cells,,,,,,,,,,
,,,,,Cell F2,,,,,
,,,,,,,,,,
,,,,,,,,,,Cell K4
,Cell B5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Vertical 
& 
Horizontal Ranges",,,,,,,,,,
,Horizantal Range B10:H10,,,,,,,,Vertical Range J11:J17                                               ,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,
,,,,,,,,,1,
,,,,,,,,,2,
,,,,,,,,,3,
,,,,,,,,,4,
,,,,,,,,,5,
,,,,,,,,,6,
,,,,,,,,,7,
,,,,,,,,,,
General Ranges,,,,,,,,,,
,Range B21:D24,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,,
,A,228,218,187,126,216,129,,,
,B,236,140,135,113,168,152,,,
,C,200,161,115,204,147,136,,,
