Source,,,,,,,,,,,,,,,,,,,
iso_code,continent,location,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,female_smokers,male_smokers,extreme_poverty,human_development_index,life_expectancy
Column #,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ALB,Europe,Albania,"210,224","3,217","1,141,486","1,031,132","2,316,606",56.23071642,"2,872,934",104.871,38,13.19%,8.64%,"$11,803.43",7.10%,51.20%,1.10%,0.795,78.57
AND,Europe,Andorra,"23,740",140,"57,085","51,392","117,246",48.84573134,"77,354",163.755,,,,,29.00%,37.80%,,0.868,83.73
AUT,Europe,Austria,"1,278,619","13,733","6,634,815","6,497,370","16,482,194",60.74892012,"9,043,072",106.749,44.4,19.20%,13.75%,"$45,436.69",28.40%,30.90%,0.70%,0.922,81.54
BEL,Europe,Belgium,"2,105,343","28,331","8,918,988","8,808,893","21,678,254",54.66674319,"11,632,334",375.564,41.8,18.57%,12.85%,"$42,658.58",25.10%,31.40%,0.20%,0.931,81.63
BGR,Europe,Bulgaria,"747,108","30,955","1,904,143","1,914,910","3,700,660",47.89121988,"6,896,655",65.18,44.7,20.80%,13.27%,"$18,563.31",30.10%,44.40%,1.50%,0.816,75.05
BIH,Europe,Bosnia and Herzegovina,"291,313","13,442","882,641","720,631","1,553,874",46.9174063,"3,263,459",68.496,42.5,16.57%,10.71%,"$11,713.90",30.20%,47.70%,0.20%,0.78,77.4
BLR,Europe,Belarus,"699,110","5,578","4,356,041","3,228,165","7,708,200",32.12634473,"9,442,867",46.858,40.3,14.80%,9.79%,"$17,167.97",10.50%,46.10%,,0.823,74.79
CHE,Europe,Switzerland,"1,332,615","12,217","5,976,038","5,830,359","13,852,728",50.47829882,"8,715,494",214.243,43.1,18.44%,12.64%,"$57,410.17",22.60%,28.90%,,0.955,83.78
CZE,Europe,Czechia,"2,475,729","36,129","6,826,591","6,656,389","15,488,504",50.92174367,"10,724,553",137.176,43.3,19.03%,11.58%,"$32,605.91",30.50%,38.30%,,0.9,79.38
DEU,Europe,Germany,"7,193,186","112,111","61,781,761","59,258,299","150,146,040",62.42299291,"83,900,471",237.016,46.6,21.45%,15.96%,"$45,229.25",28.20%,33.10%,,0.947,81.33
DNK,Europe,Denmark,"802,397","3,207","4,803,797","4,558,768","12,122,897",49.28211731,"5,813,302",136.52,42.3,19.68%,12.33%,"$46,682.52",19.30%,18.80%,0.20%,0.94,80.9
