url,https://docs.google.com/spreadsheets/d/17EqDEwy3qDJJYsxuE57E8gw-7bSkiXxz8WOSNgVJJME/edit#gid=973749186,,,,,,,,,,,,,,,,,,,
range,Covid Data Monthly!A2:U4737,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21
continent,iso_code,location,month_year_of_date,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,stringency_index,population,population_density,gdp_per_capita,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,extreme_poverty,human_development_index,life_expectancy
,Burkina Faso,,,,,,,,,,,,,,,,,,,
location,year(month_year_of_date),sum total_cases,sum total_deaths,,year,month,total_cases,total_deaths,,year,month,total_cases,total_deaths,,,,,,,
Burkina Faso,2020,"6,707",85,,2020,1,"9,370",$196,,2020,January 2020,9370,196,,,,,,,
Burkina Faso,2021,"10,925",233,,2020,2,"75,390","$2,724",,2020,February 2020,75390,2724,,,,,,,
,,,,,2020,3,"789,731","$41,715",,2020,March 2020,789731,41715,,,,,,,
,,,,,2020,4,"2,397,889","$196,292",,2020,April 2020,2397889,196292,,,,,,,
,,,,,2020,5,"2,901,530","$150,000",,2020,May 2020,2901530,150000,,,,,,,
,,,,,2020,6,"4,291,202","$145,172",,2020,June 2020,4291202,145172,,,,,,,
,,,,,2020,7,"7,113,510","$175,865",,2020,July 2020,7113510,175865,,,,,,,
,,,,,2020,8,"7,937,308","$183,116",,2020,August 2020,7937308,183116,,,,,,,
,,,,,2020,9,"8,490,328","$164,741",,2020,September 2020,8490328,164741,,,,,,,
,,,,,2020,10,"12,109,077","$184,406",,2020,October 2020,12109077,184406,,,,,,,
,,,,,2020,11,"17,271,415","$276,253",,2020,November 2020,17271415,276253,,,,,,,
,,,,,2020,12,"19,525,669","$354,973",,2020,December 2020,19525669,354973,,,,,,,
,,,,,2021,1,"19,534,559","$417,147",,2021,January 2021,19534559,417147,,,,,,,
,,,,,2021,2,"11,245,437","$311,087",,2021,February 2021,11245437,311087,,,,,,,
,,,,,2021,3,"14,762,190","$300,042",,2021,March 2021,14762190,300042,,,,,,,
,,,,,2021,4,"22,498,121","$378,468",,2021,April 2021,22498121,378468,,,,,,,
,,,,,2021,5,"19,676,858","$379,203",,2021,May 2021,19676858,379203,,,,,,,
,,,,,2021,6,"11,472,118","$271,637",,2021,June 2021,11472118,271637,,,,,,,
,,,,,2021,7,"15,642,133","$260,640",,2021,July 2021,15642133,260640,,,,,,,
,,,,,2021,8,"19,850,221","$299,530",,2021,August 2021,19850221,299530,,,,,,,
,,,,,2021,9,"15,833,326","$264,146",,2021,September 2021,15833326,264146,,,,,,,
,,,,,2021,10,"12,931,909","$216,440",,2021,October 2021,12931909,216440,,,,,,,
,,,,,2021,11,"15,612,966","$215,618",,2021,November 2021,15612966,215618,,,,,,,
,,,,,2021,12,"25,418,739","$220,802",,2021,December 2021,25418739,220802,,,,,,,
